"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21","538.85","536.79","566.65","518.28","61.91M","1.21%"
"Jan 21","532.39","539.00","593.29","485.67","140.03M","-1.54%"
"Dec 20","540.73","492.34","545.50","491.29","77.49M","10.20%"
"Nov 20","490.70","478.87","518.73","463.41","91.79M","3.14%"
"Oct 20","475.74","506.03","572.49","472.21","154.32M","-4.86%"
"Sep 20","500.03","532.60","557.39","458.60","118.82M","-5.58%"
"Aug 20","529.56","490.86","549.04","466.55","116.27M","8.32%"
"Jul 20","488.88","454.00","575.37","454.00","232.23M","7.44%"
"Jun 20","455.04","418.83","474.01","404.25","117.29M","8.41%"
"May 20","419.73","415.10","458.97","397.86","135.10M","-0.03%"
"Apr 20","419.85","376.05","449.52","357.51","225.16M","11.81%"
"Mar 20","375.50","373.11","393.52","290.25","202.01M","1.75%"
"Feb 20","369.03","347.24","392.95","346.28","114.11M","6.94%"
