"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 21","52.68","40.35","55.87","39.17","302.43M","31.73%"
"Jan 21","39.99","43.68","46.80","39.77","279.50M","-7.54%"
"Dec 20","43.25","45.83","51.31","42.43","379.48M","-4.00%"
"Nov 20","45.05","34.08","46.76","32.95","443.82M","33.05%"
"Oct 20","33.86","35.23","38.10","32.16","493.17M","-2.56%"
"Sep 20","34.75","35.25","39.77","31.22","587.50M","-3.47%"
"Aug 20","36.00","31.33","39.86","30.32","760.65M","14.72%"
"Jul 20","31.38","36.92","38.37","29.23","1.12B","-9.33%"
"Jun 20","34.61","28.19","48.95","27.95","1.79B","23.43%"
"May 20","28.04","28.10","32.75","18.18","1.16B","-5.21%"
"Apr 20","29.58","29.51","34.04","21.56","847.68M","-6.24%"
"Mar 20","31.55","61.13","63.53","17.80","472.58M","-48.77%"
"Feb 20","61.59","75.49","82.72","60.83","99.97M","-17.66%"
